$GNGGA,131545.000,5152.49544,N,02138.85610,E,1,08,1.5,177.3,M,31.8,M,,*48
$GNGLL,5152.49544,N,02138.85610,E,131545.000,A,A*49
$GNGSA,A,3,04,09,21,31,,,,,,,,,3.4,1.5,3.0,1*3D
$GNGSA,A,3,05,16,29,37,,,,,,,,,3.4,1.5,3.0,4*39
$GPGSV,3,1,12,01,,,44,02,24,162,22,03,83,057,21,04,56,214,24,0*5B
$GPGSV,3,2,12,06,23,313,,09,26,227,19,17,29,262,,19,30,286,,0*6F
$GPGSV,3,3,12,21,17,159,41,23,,,19,28,27,050,21,31,39,085,30,0*5D
$BDGSV,1,1,04,05,22,136,40,16,33,049,24,29,24,200,39,37,23,089,41,0*7D
$GNRMC,131545.000,A,5152.49544,N,02138.85610,E,0.00,0.00,030823,,,A,V*0E
$GNVTG,0.00,T,,M,0.00,N,0.00,K,A*23
$GNZDA,131545.000,03,08,2023,00,00*47
$GPTXT,01,01,01,ANTENNA OK*35
